STATE,SU_ID,n_obs,econ1_n,econ1_corr,econ1_slope,econ1_r2,econ2_n,econ2_corr,econ2_slope,econ2_r2
NY,0021490474,1,0,,,,0,,,
NY,0021497489,1,0,,,,0,,,
NY,0021499692,1,0,,,,0,,,
NY,0021513181,1,0,,,,0,,,
NY,0021514252,1,0,,,,0,,,
NY,0021522281,1,0,,,,0,,,
NY,0021537266,1,0,,,,0,,,
NY,0021560417,1,0,,,,0,,,
NY,0021569899,1,0,,,,0,,,
NY,0021579467,1,0,,,,0,,,
NY,0021580816,1,0,,,,0,,,
NY,0021587276,1,0,,,,0,,,
NY,0021588354,1,0,,,,0,,,
NY,0021589556,1,0,,,,0,,,
NY,0021593931,1,0,,,,0,,,
NY,0021600547,1,0,,,,0,,,
NY,0021606307,1,0,,,,0,,,
NY,0021606370,1,0,,,,0,,,
NY,0021609478,1,0,,,,0,,,
NY,0021622129,1,0,,,,0,,,
NY,0021642020,1,0,,,,0,,,
NY,0021646427,1,0,,,,0,,,
NY,0021649790,1,0,,,,0,,,
NY,0021679539,1,0,,,,0,,,
NY,0021749865,1,0,,,,0,,,
NY,0021753950,1,0,,,,0,,,
NY,0021769821,1,0,,,,0,,,
NY,0021770397,1,0,,,,0,,,
NY,0021783096,1,0,,,,0,,,
NY,0021794008,1,0,,,,0,,,
NY,0021820703,1,0,,,,0,,,
NY,0021822728,1,0,,,,0,,,
NY,0021829714,1,0,,,,0,,,
NY,0021832331,1,0,,,,0,,,
NY,0021849165,1,0,,,,0,,,
NY,0021859396,1,0,,,,0,,,
NY,0021875935,1,0,,,,0,,,
NY,0021885378,1,0,,,,0,,,
NY,0021897232,1,0,,,,0,,,
NY,0021910340,1,0,,,,0,,,
NY,0021921288,1,0,,,,0,,,
NY,0021921915,1,0,,,,0,,,
NY,0021941544,1,0,,,,0,,,
NY,0021968258,1,0,,,,0,,,
NY,0021977800,1,0,,,,0,,,
NY,0021993274,1,0,,,,0,,,
NY,0022006425,1,0,,,,0,,,
NY,0022011128,1,0,,,,0,,,
NY,0022014878,1,0,,,,0,,,
NY,0022037012,1,0,,,,0,,,
NY,0022037729,1,0,,,,0,,,
NY,0022042113,1,0,,,,0,,,
NY,0022049869,1,0,,,,0,,,
NY,0022060141,1,0,,,,0,,,
NY,0022068818,1,0,,,,0,,,
NY,0022074236,1,0,,,,0,,,
NY,0022081808,1,0,,,,0,,,
NY,0022090331,1,0,,,,0,,,
NY,0022094074,1,0,,,,0,,,
NY,0022097087,1,0,,,,0,,,
NY,0022104504,1,0,,,,0,,,
NY,0022122078,1,0,,,,0,,,
NY,0022124160,1,0,,,,0,,,
NY,0022133411,1,0,,,,0,,,
NY,0022152402,1,0,,,,0,,,
NY,0022161312,1,0,,,,0,,,
NY,0022169636,1,0,,,,0,,,
NY,0022174691,1,0,,,,0,,,
NY,0022212118,1,0,,,,0,,,
NY,0022212372,1,0,,,,0,,,
NY,0022218968,1,0,,,,0,,,
NY,0022220863,1,0,,,,0,,,
NY,0022221341,1,0,,,,0,,,
NY,0022225274,1,0,,,,0,,,
NY,0022225805,1,0,,,,0,,,
NY,0022232770,1,0,,,,0,,,
NY,0022241410,1,0,,,,0,,,
