STATE,econ1_corr,econ1_r2,econ1_n,econ2_corr,econ2_r2,econ2_n
NY,-0.3682713558285459,0.13562379152379556,1300,0.011411185569276701,0.00013021515609645817,516
TX,-0.23466247786080016,0.05506647851577007,1214,-0.1179890097773106,0.013921406428230365,487
