bin_left,bin_right,n,mean_pred,frac_pos
0.0,0.07477015034865397,502,0.06150141319702828,0.0099601593625498
0.07477015034865397,0.09134974183276702,502,0.08336439918519006,0.013944223107569721
0.09134974183276702,0.16786447211426558,501,0.11712214328250033,0.05189620758483034
0.16786447211426558,0.36465957358851564,502,0.24977038955774292,0.10557768924302789
0.36465957358851564,0.6450669563549177,501,0.5121858088706308,0.34930139720558884
0.6450669563549177,0.8151058005934444,502,0.7400321307180877,0.6932270916334662
0.8151058005934444,0.886727027464848,502,0.8548861736528549,0.8884462151394422
0.886727027464848,0.9218175837404073,501,0.9076825926969068,0.93812375249501
0.9218175837404073,0.9388551774424987,502,0.9305218189455605,0.952191235059761
0.9388551774424987,1.0,502,0.9526125128832891,0.9601593625498008
