bin_left,bin_right,n,mean_pred,frac_pos
0.0,0.1,1771,0.029008636117772983,0.03274985883681536
0.1,0.2,236,0.14837896349858265,0.1440677966101695
0.2,0.30000000000000004,158,0.24546396504755064,0.26582278481012656
0.30000000000000004,0.4,135,0.35190563042517653,0.2962962962962963
0.4,0.5,151,0.4500208592789107,0.37748344370860926
0.5,0.6000000000000001,147,0.5546645073117309,0.6054421768707483
0.6000000000000001,0.7000000000000001,181,0.6528336247998996,0.6519337016574586
0.7000000000000001,0.8,236,0.7569543069267737,0.7669491525423728
0.8,0.9,515,0.8551391083427463,0.8990291262135922
0.9,1.0,1487,0.9455086229672164,0.9468728984532616
