bin_left,bin_right,n,mean_pred,frac_pos
0.0,0.016615236039337396,502,0.013183830325281013,0.01195219123505976
0.016615236039337396,0.020867720565291632,502,0.018776179434336626,0.00597609561752988
0.020867720565291632,0.056560547751292885,501,0.03190739531355575,0.05788423153692615
0.056560547751292885,0.20000905364789215,502,0.10829123505741432,0.10756972111553785
0.20000905364789215,0.545855999343386,501,0.3674264513237414,0.34930139720558884
0.545855999343386,0.7983786516462122,502,0.6862707757888157,0.6952191235059761
0.7983786516462122,0.8972089329800982,502,0.8530259888843361,0.8924302788844621
0.8972089329800982,0.9370034098062443,501,0.9221278354873863,0.9341317365269461
0.9370034098062443,0.9536289031482469,502,0.9453924969465322,0.952191235059761
0.9536289031482469,1.0,502,0.967272425413667,0.9561752988047809
